Age,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,7,6.6,5.7,5.5,5.1,4.8,4.8,4.7,4.9,3.8,3.9,3.7,3.6,3.2,3.8,3.7,3.6,3.3,3.5,4.1,3.6,3.8,3.5,3.3,3.3,2.9,3.2,2.9,2.9,2.7,2.9,2.6,3.3,3.4,3.7,3.1,2.9,2.9,2.7,2.4,2.2,1.8,1.7,1.5,1.3,1.3,1.3
16,19.2,15.9,14.3,12.9,12.8,12,12.2,11.8,11.6,10.2,10.1,9,8.6,8.9,9,8.5,8.9,9,8.7,9,9.4,8.9,8.5,8.3,7.7,7.7,7.3,7.5,7.2,6.7,7,6.7,6.8,8,7.6,7,6.6,6.4,5.6,4.9,4.5,3.9,3.7,3.7,3,2.3,2.2
17,37.5,32.3,30,27.2,26.4,24.5,25,25.4,24.3,21.8,21.1,20.4,19.4,18.5,18.9,20.5,19.9,19.3,19.3,18.7,18.9,19.8,18.2,18,17.1,16.3,15.9,15,14.3,14.6,15.2,14.2,15.1,15.5,16.2,13.9,13.7,14.3,12.8,9.5,9.7,8.3,7.7,6.8,6.4,5.8,5
18,60.4,51.9,46.3,43.7,40.4,40.2,40.4,39.3,38,34.6,33.8,33.2,31.2,29,29.4,31.4,31.7,31.4,29.4,28.2,28.5,28.6,29,27.5,26.8,25.4,25.1,25,22.3,23.4,23.2,23.1,23.8,25.7,24.1,23,22.4,22.6,20.1,18.1,16.1,13.9,14,13,11.7,10.8,10
19,80,72.8,66.6,61.2,57.1,54.4,55.5,53.6,52.8,46.6,47.1,45.7,43.1,42.4,40.4,42.4,42.6,43.7,41.6,41.9,41.3,39.6,40.7,39,39.2,37.3,37.6,36.4,33.9,32.8,34.2,34.8,36.5,38.3,35.9,34.9,33.6,33,30.1,27.7,25.9,23.4,22.9,21.2,19.9,18.6,17.4
20,99.9,93.8,86,80.1,74.6,71.2,71,69.6,68.5,60.5,61.6,58.6,55.5,54.9,52.3,53.8,50.8,53.1,52.3,49.8,48.4,47.8,47,45.6,46.5,43.5,44,42.4,40,39.3,40.9,40.2,44.5,44.8,43.2,41.6,41.3,40.6,38.1,34.7,33.2,31.2,29.6,28.7,26.6,24,23.7
21,117.5,111.8,106.7,100.6,93.9,89.1,89.4,85.8,85.5,76.3,76.8,70.7,67.7,64.7,63.5,65.6,62.2,61.1,58.6,58.3,56,53.7,52.6,51.5,52.7,51.2,48.9,49.7,46.9,46,46.4,46.2,51,51.4,48.2,47.1,44.8,45.1,44.3,40.2,39.5,36.6,36.3,35.2,32.6,30.7,30.5
22,133.9,129.9,122.4,119,111,110,109.1,105.6,102.7,93.9,95,89,82.4,80.8,77.5,78,74.7,72.9,69.2,67.6,65.4,63.1,61.4,60.5,59.4,57.8,58.7,55.1,54,52.3,53.1,53,57.7,60.1,56.8,54.9,51.4,52,51.9,47.3,47.1,44.3,43,42.4,40.2,37.3,38.7
23,153.1,145.7,142.4,134,127.9,127.9,130,121.4,120.9,111.7,114.4,105.3,99.9,94.6,92.7,93.5,89.2,88.8,82,78.2,77.5,73.4,71.2,69.3,68.8,67.5,66.2,63.9,61.9,61.3,61.1,61.1,65.4,64.4,63.2,61.5,59,59,56.9,52.6,53.7,50.9,48.4,48.1,45.7,43.5,45.4
24,165.7,160.3,153.2,147.4,141.1,139.8,140.9,139.5,136.5,128.5,128.3,123,116.4,110.9,106.8,108.2,102.1,102.7,96,94.2,86.6,86.8,81.5,80.4,77.5,77.6,75.6,74.6,72.4,68.9,71,69.9,74.5,75.4,71.4,71,68,67.8,63.5,60.2,60.9,58.6,56.1,57.2,53.3,50.9,53.6
25,170.3,166,160.1,157,152.5,149.7,150.6,150.3,150.6,139.4,142.2,135.4,132.5,127.5,123.5,122.4,116.9,115.8,112.9,108.3,102.9,96.8,94.4,92.4,89.6,89.8,85.6,82.9,82.7,81.5,81.8,81.8,87.2,85,83.4,80,79.7,77.2,74.7,70.5,70,67.1,67.3,66.1,61,59.9,64.6
26,165.7,162.5,159,154.1,153.1,149.6,154.1,151.4,153.4,147.4,150.7,147,140.2,136.5,135.7,135.4,130.1,127.5,126.8,121.7,115.8,110.5,104.8,103,99.9,97.9,95.5,95.5,94.7,93.1,94.7,93.4,97.9,98.9,95.7,93,90.6,90,87.8,81.7,81.3,79.1,77.5,77,72.9,68.6,73.8
27,151.4,151.9,151.1,148.1,147.6,147.5,152.2,149.8,148,148.2,154.4,147.5,144.9,140.9,140.7,144.9,136.7,137.4,132,130,126.3,122.4,118.7,111.8,109.7,111,105.7,107.8,103.2,103.2,106.1,105.2,109.5,109,108.4,104.7,104.5,103.2,98.9,95.5,93.6,91.6,89.1,88.8,83.8,79.8,85
28,134.8,135.7,138.2,137.2,135.4,137.6,141.5,141.8,144,137.5,148.7,143.6,143.8,143.3,138.9,146.5,140.4,140.4,139.2,134.6,133.1,129.7,125.7,125,119.3,119.2,114.9,115.3,114.3,113.7,118,117,124.8,121.8,118.5,117.9,115.7,117,111.3,106.4,105.9,106,100.6,101.2,95.1,91,98.1
29,124.1,117,120,122.9,123.4,120.8,127.4,131.1,132.9,129.2,133.7,135.9,136.5,136,138,139.3,134.7,139.7,138.3,136.3,134,131.9,130.6,128.4,126.6,122.6,121.9,123.2,120.9,122.5,126.3,126.7,132.1,131.4,126.9,125.5,125,124.9,121.9,118.8,115.9,116.6,113.1,112.1,106.9,100.4,109.6
30,105.3,104.1,101,103.5,104.7,108.1,109,114.9,113.1,113.1,123.5,119.4,123,125.7,125.6,130.7,125.9,131.2,133.2,128.9,130.2,126.7,129,126.3,124.9,125.8,118.5,124.4,123,123.8,128.4,129.4,135.7,135.5,132.9,129.7,127.1,131.3,126.4,122.3,123.4,123.3,119,118.2,113.8,109.1,117.8
31,83.7,85.1,86.2,82.7,86.6,86.5,93.2,94.3,97.4,96.8,105,105.7,103.5,108.6,111,117.2,114.5,117.8,120.5,120.2,120.2,121.3,119.2,120.9,120.9,121.3,119.4,120,124.6,124.1,129.6,132.2,139.9,140.4,135,135.1,134.7,133.3,134.1,127.4,127.7,131.1,124.5,125.9,123.5,117.5,126.2
